Simulation level:metapop
Simulation finished in 121.94 s
Outputs stored in outputs/counts.csv
         250768863 function calls (217796981 primitive calls) in 123.470 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2921/1    0.018    0.000  123.586  123.586 {built-in method builtins.exec}
        1    0.000    0.000  123.585  123.585 runpy.py:195(run_module)
        1    0.000    0.000  123.584  123.584 runpy.py:62(_run_code)
        1    0.000    0.000  123.584  123.584 __main__.py:92(<module>)
        1    0.000    0.000  122.059  122.059 __main__.py:417(main)
        1    0.000    0.000  121.937  121.937 __main__.py:269(run_model)
        1    0.000    0.000  121.937  121.937 simulation.py:339(run)
        1    0.001    0.001  109.209  109.209 simulation.py:252(run)
  5050/50    0.095    0.000   82.143    1.643 abstract_process_manager.py:161(evolve)
15100/100    0.028    0.000   82.078    0.821 views.py:351(evolve)
50638/100    0.271    0.000   82.078    0.821 groups.py:168(evolve)
    10000    0.058    0.000   62.819    0.006 multi_process_manager.py:104(add_new_population)
    64830    0.423    0.000   57.255    0.001 abstract_agent.py:391(apply_prototype)
    64730    0.333    0.000   56.038    0.001 multi_process_manager.py:278(make_all_consistent)
   149704    0.663    0.000   54.414    0.000 multi_process_manager.py:285(make_consistent)
   428264   15.258    0.000   53.982    0.000 views.py:205(check_consistency)
32415/22415    0.219    0.000   39.876    0.002 multi_process_manager.py:210(new_atom)
    32415    0.026    0.000   32.846    0.001 abstract_agent.py:382(reapply_prototype)
     4633    0.026    0.000   27.184    0.006 multi_process_manager.py:113(<listcomp>)
       51    0.000    0.000   26.891    0.527 simulation.py:272(counts)
       51    0.141    0.003   26.859    0.527 metapop_process_manager.py:32(counts)
    32416    0.026    0.000   24.461    0.001 abstract_agent.py:449(apply_initial_prototype)
 15344257   10.835    0.000   23.049    0.000 state.py:90(__eq__)
31913609/15618270   12.342    0.000   21.948    0.000 abstract_agent.py:190(get_information)
    10000    0.067    0.000   17.620    0.002 group_manager.py:114(evolve)
40423283/24167740    5.035    0.000   16.224    0.000 {built-in method builtins.getattr}
     5049    0.022    0.000   15.311    0.003 frame.py:6999(append)
     5049    0.017    0.000   15.276    0.003 concat.py:31(concat)
   149660    1.050    0.000   14.087    0.000 group_manager.py:65(update_counts)
 32860412    9.128    0.000   13.675    0.000 types.py:164(__get__)
        1    0.000    0.000   12.728   12.728 simulation.py:202(__init__)
        1    0.000    0.000   12.728   12.728 simulation.py:233(init_agent)
    101/1    0.001    0.000   12.728   12.728 multi_process_manager.py:49(__init__)
    101/1    0.001    0.000   12.727   12.727 abstract_process_manager.py:51(__init__)
    101/1    0.010    0.000   12.720   12.720 multi_process_manager.py:57(apply_initial_conditions)
    202/2    0.009    0.000   12.718    6.359 multi_process_manager.py:87(<listcomp>)
   309975    0.505    0.000   12.635    0.000 groups.py:128(population)
    10224    0.168    0.000   12.558    0.001 multi_process_manager.py:237(add_atoms)
     5049    0.092    0.000   11.972    0.002 concat.py:430(get_result)
     5049    0.138    0.000   11.601    0.002 managers.py:2020(concatenate_block_managers)
   309975    3.881    0.000   11.340    0.000 groups.py:140(<listcomp>)
    10149    0.033    0.000   10.888    0.001 frame.py:397(__init__)
     5100    0.044    0.000   10.825    0.002 construction.py:216(init_dict)
   597242    2.980    0.000    9.875    0.000 sortedset.py:108(__init__)
    10000    0.035    0.000    9.613    0.001 group_manager.py:135(evolve_states)
     5100    0.014    0.000    9.382    0.002 construction.py:69(arrays_to_mgr)
    25245    0.079    0.000    7.702    0.000 concat.py:241(concatenate_join_units)
    10000    0.269    0.000    5.567    0.001 group_manager.py:145(_evolve_transitions)
     5100    0.079    0.000    5.511    0.001 construction.py:300(_homogenize)
    71400    0.369    0.000    5.360    0.000 construction.py:630(sanitize_array)
   791552    2.259    0.000    4.601    0.000 sortedlist.py:320(update)
  9596146    2.441    0.000    4.464    0.000 {built-in method builtins.isinstance}
 31551669    4.291    0.000    4.291    0.000 enum.py:628(value)
  1392963    1.027    0.000    4.226    0.000 base.py:231(is_dtype)
    80372    0.227    0.000    4.141    0.000 views.py:54(remove)
   597444    1.181    0.000    4.090    0.000 sortedlist.py:141(__init__)
    30538    0.067    0.000    4.068    0.000 views.py:194(evolve)
    22967    0.076    0.000    3.972    0.000 groups.py:82(move_to)
   224109    0.787    0.000    3.830    0.000 sortedset.py:664(update)
    22967    0.028    0.000    3.672    0.000 groups.py:158(_base_move)
    25245    0.044    0.000    3.465    0.000 concat.py:252(<listcomp>)
    50490    0.171    0.000    3.421    0.000 concat.py:177(get_reindexed_values)
    53633    0.174    0.000    3.400    0.000 views.py:49(add)
     5100    0.018    0.000    3.383    0.001 managers.py:1691(create_block_manager_from_arrays)
     5049    0.079    0.000    3.286    0.001 concat.py:266(__init__)
    50490    0.511    0.000    3.111    0.000 algorithms.py:1608(take_nd)
     5100    0.206    0.000    2.875    0.001 managers.py:1726(form_blocks)
   121992    0.370    0.000    2.680    0.000 blocks.py:3212(get_block_type)
    71400    0.141    0.000    2.672    0.000 construction.py:759(_try_cast)
    10000    0.080    0.000    2.576    0.000 group_manager.py:94(apply_changes)
     5017    0.091    0.000    2.508    0.000 multi_process_manager.py:305(remove_atoms)
    32315    0.106    0.000    2.502    0.000 atoms.py:31(__init__)
     4995    0.005    0.000    2.497    0.000 multi_process_manager.py:294(remove)
    33340    0.159    0.000    2.481    0.000 emulsion_agent.py:47(__init__)
    25245    0.520    0.000    2.413    0.000 concat.py:273(get_empty_dtype_and_na)
34744/33006    0.167    0.000    2.397    0.000 <frozen importlib._bootstrap>:978(_find_and_load)
   164804    0.360    0.000    2.336    0.000 views.py:312(handle_notifications)
    33340    0.193    0.000    2.308    0.000 abstract_agent.py:71(__init__)
    10098    0.014    0.000    2.182    0.000 generic.py:5254(_consolidate)
   635001    0.252    0.000    2.172    0.000 common.py:539(is_datetime64tz_dtype)
    10098    0.008    0.000    2.160    0.000 generic.py:5246(_consolidate_inplace)
    10098    0.018    0.000    2.153    0.000 generic.py:5236(_protect_consolidate)
    10098    0.014    0.000    2.127    0.000 generic.py:5249(f)
    10098    0.011    0.000    2.084    0.000 managers.py:919(consolidate)
    33340    0.271    0.000    2.012    0.000 abstract_agent.py:103(_reset_mbr_cache)
    10664    0.135    0.000    1.984    0.000 views.py:148(next_states)
  5677013    1.437    0.000    1.982    0.000 generic.py:7(_check)
    55641    0.130    0.000    1.921    0.000 blocks.py:3258(make_block)
    25245    0.112    0.000    1.742    0.000 concat.py:108(_concat_compat)
    15147    0.065    0.000    1.708    0.000 managers.py:126(__init__)
148178/148172    0.071    0.000    1.619    0.000 {built-in method builtins.all}
   406929    0.192    0.000    1.612    0.000 common.py:678(is_categorical_dtype)
    30294    0.065    0.000    1.610    0.000 concat.py:379(is_uniform_join_units)
    80372    0.232    0.000    1.579    0.000 sortedset.py:504(difference_update)
   743239    0.442    0.000    1.566    0.000 views.py:40(__iter__)
   169955    0.460    0.000    1.556    0.000 views.py:264(__iter__)
  1748/22    0.006    0.000    1.544    0.070 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
  1682/22    0.006    0.000    1.541    0.070 <frozen importlib._bootstrap>:663(_load_unlocked)
  1526/20    0.004    0.000    1.539    0.077 <frozen importlib._bootstrap_external>:722(exec_module)
  2121/24    0.001    0.000    1.536    0.064 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
    30294    0.217    0.000    1.518    0.000 concat.py:33(get_dtype_kinds)
    10098    0.014    0.000    1.488    0.000 managers.py:935(_consolidate_inplace)
    32615    0.443    0.000    1.483    0.000 misc.py:414(add_all_test_properties)
