Simulation level:metapop
Simulation finished in 107.32 s
Outputs stored in outputs/counts.csv
         238129223 function calls (202679393 primitive calls) in 110.198 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   2921/1    0.026    0.000  110.304  110.304 {built-in method builtins.exec}
        1    0.000    0.000  110.304  110.304 runpy.py:195(run_module)
        1    0.000    0.000  110.303  110.303 runpy.py:62(_run_code)
        1    0.000    0.000  110.303  110.303 __main__.py:92(<module>)
        1    0.000    0.000  107.455  107.455 __main__.py:417(main)
        1    0.000    0.000  107.322  107.322 __main__.py:269(run_model)
        1    0.000    0.000  107.321  107.321 simulation.py:339(run)
        1    0.001    0.001   95.284   95.284 simulation.py:252(run)
  5050/50    0.091    0.000   78.195    1.564 abstract_process_manager.py:161(evolve)
15100/100    0.026    0.000   78.130    0.781 views.py:351(evolve)
50540/100    0.261    0.000   78.130    0.781 groups.py:168(evolve)
    10000    0.054    0.000   59.572    0.006 multi_process_manager.py:104(add_new_population)
    65124    0.404    0.000   54.216    0.001 abstract_agent.py:391(apply_prototype)
    65024    0.338    0.000   53.047    0.001 multi_process_manager.py:278(make_all_consistent)
   150292    0.620    0.000   51.476    0.000 multi_process_manager.py:285(make_consistent)
   428785   13.901    0.000   50.957    0.000 views.py:205(check_consistency)
32562/22562    0.203    0.000   37.722    0.002 multi_process_manager.py:210(new_atom)
    32562    0.026    0.000   31.067    0.001 abstract_agent.py:382(reapply_prototype)
     4652    0.024    0.000   25.720    0.006 multi_process_manager.py:113(<listcomp>)
    32563    0.026    0.000   23.201    0.001 abstract_agent.py:449(apply_initial_prototype)
 15544959   10.194    0.000   22.259    0.000 state.py:90(__eq__)
33439973/15840639   11.534    0.000   21.659    0.000 abstract_agent.py:190(get_information)
    10000    0.065    0.000   16.996    0.002 group_manager.py:114(evolve)
       51    0.033    0.001   16.948    0.332 simulation.py:272(counts)
       51    0.000    0.000   16.881    0.331 metapop_process_manager.py:32(counts)
39695697/22136161    4.953    0.000   16.315    0.000 {built-in method builtins.getattr}
   160448    1.142    0.000   14.783    0.000 group_manager.py:65(update_counts)
 33334609    9.050    0.000   13.529    0.000 types.py:164(__get__)
   330495    0.498    0.000   12.951    0.000 groups.py:128(population)
       51    0.007    0.000   12.512    0.245 metapop_process_manager.py:38(<listcomp>)
     5100    0.089    0.000   12.505    0.002 abstract_process_manager.py:308(counts)
        1    0.000    0.000   12.036   12.036 simulation.py:202(__init__)
        1    0.000    0.000   12.036   12.036 simulation.py:233(init_agent)
    101/1    0.001    0.000   12.036   12.036 multi_process_manager.py:49(__init__)
    101/1    0.001    0.000   12.036   12.036 abstract_process_manager.py:51(__init__)
    101/1    0.009    0.000   12.028   12.028 multi_process_manager.py:57(apply_initial_conditions)
    202/2    0.008    0.000   12.027    6.013 multi_process_manager.py:87(<listcomp>)
    10224    0.159    0.000   11.932    0.001 multi_process_manager.py:237(add_atoms)
   330495    4.140    0.000   11.604    0.000 groups.py:140(<listcomp>)
     5151    0.016    0.000   10.570    0.002 frame.py:397(__init__)
     5100    0.041    0.000   10.540    0.002 construction.py:216(init_dict)
   596902    2.949    0.000    9.647    0.000 sortedset.py:108(__init__)
    10000    0.034    0.000    9.394    0.001 group_manager.py:135(evolve_states)
     5100    0.012    0.000    9.138    0.002 construction.py:69(arrays_to_mgr)
    10000    0.262    0.000    5.530    0.001 group_manager.py:145(_evolve_transitions)
     5100    0.080    0.000    5.350    0.001 construction.py:300(_homogenize)
    71400    0.354    0.000    5.201    0.000 construction.py:630(sanitize_array)
   790273    2.225    0.000    4.461    0.000 sortedlist.py:320(update)
       51    0.001    0.000    4.368    0.086 concat.py:31(concat)
 31971092    4.210    0.000    4.210    0.000 enum.py:628(value)
       51    0.035    0.001    4.062    0.080 concat.py:430(get_result)
    79999    0.210    0.000    3.999    0.000 views.py:54(remove)
   597104    1.107    0.000    3.959    0.000 sortedlist.py:141(__init__)
       51    0.019    0.000    3.897    0.076 managers.py:2020(concatenate_block_managers)
    22807    0.069    0.000    3.833    0.000 groups.py:82(move_to)
    30440    0.061    0.000    3.829    0.000 views.py:194(evolve)
34891/33153    0.169    0.000    3.740    0.000 <frozen importlib._bootstrap>:978(_find_and_load)
   223068    0.763    0.000    3.702    0.000 sortedset.py:664(update)
    22807    0.025    0.000    3.548    0.000 groups.py:158(_base_move)
     5100    0.017    0.000    3.316    0.001 managers.py:1691(create_block_manager_from_arrays)
    53473    0.160    0.000    3.289    0.000 views.py:49(add)
  7392770    1.787    0.000    3.243    0.000 {built-in method builtins.isinstance}
  1018113    0.769    0.000    3.149    0.000 base.py:231(is_dtype)
  1748/22    0.010    0.000    2.888    0.131 <frozen importlib._bootstrap>:948(_find_and_load_unlocked)
  1682/22    0.011    0.000    2.881    0.131 <frozen importlib._bootstrap>:663(_load_unlocked)
  1526/20    0.008    0.000    2.879    0.144 <frozen importlib._bootstrap_external>:722(exec_module)
      255    0.001    0.000    2.870    0.011 concat.py:241(concatenate_join_units)
  2123/24    0.002    0.000    2.867    0.119 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     5100    0.188    0.000    2.812    0.001 managers.py:1726(form_blocks)
    71400    0.136    0.000    2.594    0.000 construction.py:759(_try_cast)
    10000    0.079    0.000    2.470    0.000 group_manager.py:94(apply_changes)
     5020    0.089    0.000    2.428    0.000 multi_process_manager.py:305(remove_atoms)
    32462    0.093    0.000    2.426    0.000 atoms.py:31(__init__)
    33483    0.151    0.000    2.416    0.000 emulsion_agent.py:47(__init__)
     4998    0.004    0.000    2.414    0.000 multi_process_manager.py:294(remove)
   165392    0.353    0.000    2.277    0.000 views.py:312(handle_notifications)
    33483    0.187    0.000    2.251    0.000 abstract_agent.py:71(__init__)
    10499    0.129    0.000    2.018    0.000 views.py:148(next_states)
       77    0.003    0.000    1.973    0.026 __init__.py:1(<module>)
    33483    0.261    0.000    1.967    0.000 abstract_agent.py:103(_reset_mbr_cache)
    87006    0.247    0.000    1.802    0.000 blocks.py:3212(get_block_type)
478218/470453    0.168    0.000    1.753    0.000 <frozen importlib._bootstrap>:1009(_handle_fromlist)
        4    0.000    0.000    1.646    0.412 __init__.py:6(<module>)
   764280    0.439    0.000    1.608    0.000 views.py:40(__iter__)
   460071    0.160    0.000    1.576    0.000 common.py:539(is_datetime64tz_dtype)
      255    0.014    0.000    1.559    0.006 concat.py:252(<listcomp>)
    25500    0.074    0.000    1.545    0.000 concat.py:177(get_reindexed_values)
  637/140    0.001    0.000    1.543    0.011 {built-in method builtins.__import__}
    79999    0.221    0.000    1.525    0.000 sortedset.py:504(difference_update)
   985972    0.453    0.000    1.507    0.000 sortedset.py:317(__iter__)
   170543    0.438    0.000    1.506    0.000 views.py:264(__iter__)
  4272575    1.028    0.000    1.416    0.000 generic.py:7(_check)
  2978025    0.930    0.000    1.413    0.000 abstract_agent.py:112(__hash__)
    25500    0.215    0.000    1.404    0.000 algorithms.py:1608(take_nd)
    10000    0.127    0.000    1.360    0.000 group_manager.py:208(_evolve_productions)
    71400    0.172    0.000    1.327    0.000 cast.py:1195(construct_1d_arraylike_from_scalar)
    32762    0.432    0.000    1.324    0.000 misc.py:414(add_all_test_properties)
    20798    0.047    0.000    1.318    0.000 functions.py:136(_func)
    15542    0.097    0.000    1.265    0.000 emulsion_agent.py:180(next_states_from)
   316965    0.119    0.000    1.240    0.000 common.py:678(is_categorical_dtype)
  1301354    0.497    0.000    1.203    0.000 state.py:123(__hash__)
15504/10353    0.185    0.000    1.167    0.000 base.py:277(__new__)
    71451    0.159    0.000    1.111    0.000 cast.py:986(maybe_cast_to_datetime)
     1527    0.028    0.000    1.088    0.001 <frozen importlib._bootstrap_external>:793(get_code)
   743030    0.492    0.000    1.083    0.000 _collections_abc.py:742(__iter__)
  1600071    0.733    0.000    1.079    0.000 {method 'extend' of 'list' objects}
    32562    0.047    0.000    1.076    0.000 multi_process_manager.py:188(get_agent_class_for_sublevel)
   790780    0.552    0.000    1.059    0.000 {built-in method builtins.sorted}
   986851    0.389    0.000    1.054    0.000 {built-in method builtins.iter}
    32562    0.033    0.000    1.029    0.000 emulsion_model.py:826(get_agent_class_for_level)
    20798    0.073    0.000    1.028    0.000 functions.py:137(<listcomp>)
